party,date,text
43320,196310,"ARBEITSPROGRAMM 1963  Vor 75 Jahren erfolgte die Gründung der Sozialdemokratischen Partei der Schweiz durch mutige, unerschrockene Männer."
43320,196310,"In Würdigung dieses historischen und für die wirtschaftliche, soziale und kulturelle Entwicklung von Land und Volk bedeutsamen Ereignisses,  in Weiterverfolgung der hohen Ziele der Begründer, die formale bürgerliche Demokratie zur wirtschaftlichen und sozialen Demokratie auszugestalten mit dem Zwecke der Festigung der Menschenrechte und der Schaffung der Voraussetzungen für eine freie, harmonische Entwicklung der Persönlichkeit,  verpflichtet sich die Sozialdemokratische Partei der Schweiz, in den nächsten vier Jahren umsichtig und entschlossen das folgende Programm zu vertreten:  1."
43320,196310,Recht auf Bildung — Chancen für die Jugend  Der Kampf der Sozialdemokraten um Gerechtigkeit in materiellen Dingen muß seine Krönung in der geistigen Befreiung des Menschen finden.
43320,196310,Jedermann soll Anteil an den kulturellen Werten haben.
43320,196310,"Was dem ganzen Volke und vornehmlich der Jugend an Bildungsmöglichkeiten zur Verfügung gestellt werden kann, wird reiche materielle und geistige Früchte tragen."
43320,196310,"Wir verlangen ein Recht auf Bildung, das, ungeachtet des sozialen Standes, jedem Menschen gemäß Begabung und Neigung die Ergreifung des Berufes seiner Wahl garantiert;  Wir begrüßen, daß in einer ersten Etappe zu diesem Ziel durch eine eidgenössische Lösung der Stipendien und Studiendarlehen neuen Schichten der Zutritt zur höheren Bildung eröffnet wird."
43320,196310,Stipendien und Studiendarlehen müssen großzügig gewährt werden.
43320,196310,Der Unterricht muß auf allen Stufen unentgeltlich sein.
43320,196310,"Dringend Ist der Ausbau von Berufsschulen, von höheren Mittelschulen und Hochschulen und die zielbewußte Förderung der wissenschaftlichen Forschung."
43320,196310,Die Lösung der Nachwuchsprobleme auf allen Stufen des Bildungswesens wird zu einer Schicksalsfrage des Landes.
43320,196310,Wirtschaftliche Notwendigkeit und soziale Gerechtigkeit müssen sich zu ihrer Meisterung vereinen.
43320,196310,"Sorgenfreies Alter  Mit Genugtuung ist festzustellen, daß der Bundesrat den Forderungen der gemeinsamen Eingabe der Sozialdemokratischen Partei und des Schweizerischen Gewerkschaftsbundes für die 6."
43320,196310,AHV-Revision im wesentlichen entsprochen hat.
43320,196310,"Diese Revision muß eine rasche parlamentarische Behandlung erfahren und sollte im Interesse der Betagten, Witwen, Waisen und Invaliden auf I. Januar 1964 in Kraft gesetzt werden."
43320,196310,"Zusammen mit der Alters- und Hinterlassenenfürsorge, an welche erhöhte Bundesmittel ausgerichtet werden müssen, wird vorerst eine bescheidene Existenzsicherung erreicht."
43320,196310,"Ein nächster Schritt muß der Schaffung einer Volkspension für alle jene Kreise gelten, die dieses sozialen Schutzes bisher noch nicht teilhaftig waren."
43320,196310,"Jedem Bürger unseres Landes muß ein Lebensabend ohne materielle Sorgen gesichert werden,  3."
43320,196310,"Gesundheit ist wichtiger als Geld  Gesundheit als höchstes menschliches Gut soll durch Reinhaltung des Wassers und der Luft, durch Kampf gegen den Lärm und durch vorbeugende Gesundheitsfüsorge geschützt werden."
43320,196310,Der Gewässerschutz ist mit allen Mitteln zu fördern.
43320,196310,Für den kranken Menschen ist nur die beste ärztliche Betreuung gut genug.
43320,196310,"Die Kosten der notwendigen Krankenpflege, mit Einschluß von Spitalaufenthalt und Kuren, sind durch die Ausgestaltung der Krankenversicherung und durch Bundes- und Kantonsbeiträge vor allem für langdauernde Krankheiten voll zu übernehmen."
43320,196310,Die Einführung der Mutterschaftsversicherung ist ein dringendes Gebot.
43320,196310,Es fehlt an Spitalbetten.
43320,196310,"Ärzten, Zahnärzten und Pflegepersonal."
43320,196310,"Spitäler, Heilstätten und Pflegeheime müssen dringlich ausgebaut oder  neu erstellt werden."
43320,196310,Die Ausbildung der Ärzte und des Pflegepersonals verdient die größtmögliche Förderung.
43320,196310,"Nur ein gesundes Volk kann sich In der Zukunft behaupten,  4."
43320,196310,"Recht auf eine gesunde, geräumige und preisgünstige Wohnung  Bodenspekulation, Häuserabbruch und Mietzinswucher bedrohen die Freiheit unserer Bürger."
43320,196310,Zu kleine und enge Wohnungen sind eine Gefahr für die Gesundheit der Familie.
43320,196310,Ein Wohnbaugesetz und eine wirkungsvolle Förderung des Wohnungsbaues müssen die Freiheit auf dem Wohnungsmarkt wieder herstellen und den Mietern ein besseres Angebot zu gerechten Preisen sichern.
43320,196310,Ein erster Schritt zur Sanierung ist die sozialdemokratisch-gewerkschaftliche Initiative gegen die Bodenspekulation.
43320,196310,"Solange Wohnungsnot herrscht, sind Mietzinskontrolle und Mieterschutz im Interesse der Verhinderung einer zusätzlichen Teuerung weiterzuführen und auf Neubauwohnungen auszudehnen."
43320,196310,Mindestens drei Wochen Ferien für alle  In unserer gehetzten Zeit sind drei Wochen Ferien das notwendige Minimum.
43320,196310,"Zusammen mit den Kantonalparteien wird sich die SPS dafür einsetzen, daß alle Arbeitnehmer unseres Landes mindestens drei Wochen bezahlte Ferien erhalten."
43320,196310,"Stopp der Teuerung  Bodenspekulation, ungerechtfertigte Gewinne und sinnlose Investitionen sind Faktoren der Teuerung und müssen durch konkrete Maßnahmen verhindert werden."
43320,196310,Die heutige Investitionspolitik mit dem Zuzug immer größerer Heere ausländischer Arbeitskräfte birgt für die Schweiz wirtschaftliche und staatspolitische Gefahren.
43320,196310,"Wo kein wirklicher Wettbewerb mehr besteht, sind die Voraussetzungen einer gesunden Konkurrenz zu schaffen."
43320,196310,Gerechte Lastönvertellung  Zwei Hauptsteuern vor allem stehen in der Bundesfinanzordnung zur Diskussion: Die Wehrsteuer und die Warenumsatzsteuer.
43320,196310,"Im Interesse gerechter Lastenverteilung fordern wir  a) für die Wehrsteuer eine Erhöhung der steuerfreien Minima, damit die bescheidenen Einkommen aus der Wehrsteuerpflicht fallen;  b) die Befreiung der Textilien von der Warenumsatzsteuer;  c) die Aufhebung der ungerechten Besteuerung der genossenschaftlichen Rückvergütung;  d) die Ablehnung einer Steuerermäßigung für hohe Einkommen und Großvermögen."
43320,196310,Dem wachsenden Verkehr freie und sichere Bahn  Der Bau von Nationalstraßen und die Modernisierung des übrigen VERKEHRSNETZES IST tatkräftig zu fördern.
43320,196310,Die Verkehrsnot auf Straßen und Bahnen ist zu beseitigen.
43320,196310,"Die Leistungsfähigkeit der öffentlichen Verkehrsmittel ist so weit zu erhöhen, daß die verstopften Straßen der Städte entlastet werden."
43320,196310,Durch bauliche und verkehrspolizeiliche Maßnahmen ist der Kampf  gegen den Verkehrstod auf den Straßen zu intensivieren.
43320,196310,Dem Schutz des Fußgängers ist besondere Aufmerksamkeit zu  schenken.
